Date,GBp=,CHF=,EUR=,PLN=,SEK=,DKK=,NOK=,USD=
2026-02-19,1.34655,0.7751,1.17735,3.58495,9.06565,6.3459,9.55935,1
2026-02-20,1.34835,0.77585,1.17815,3.58245,9.05925,6.3407,9.5273,1
2026-02-23,1.349,0.77475,1.17855,3.58065,9.06435,6.3389,9.57095,1
2026-02-24,1.3489,0.7739,1.17725,3.58125,9.0573,6.34665,9.5708,1
2026-02-25,1.3559,0.77255,1.18105,3.57045,9.02015,6.32575,9.5442,1
2026-02-26,1.3482,0.77415,1.17975,3.57865,9.0561,6.3333,9.5549,1
2026-02-27,1.34855,0.76885,1.1814,3.57465,9.0295,6.3248,9.51195,1
2026-03-02,1.34085,0.77925,1.16885,3.62625,9.16055,6.39155,9.5819,1
2026-03-03,1.33565,0.78185,1.16145,3.69445,9.26645,6.434,9.6717,1
2026-03-04,1.33765,0.77925,1.16335,3.66795,9.173,6.4218,9.63045,1
2026-03-05,1.3358,0.78095,1.16085,3.683,9.22575,6.4359,9.6843,1
2026-03-06,1.34125,0.77595,1.16185,3.6759,9.17525,6.4308,9.58625,1
2026-03-09,1.34395,0.77745,1.16365,3.65195,9.1353,6.42035,9.5905,1
2026-03-10,1.34175,0.77855,1.1611,3.67495,9.1806,6.4355,9.6382,1
2026-03-11,1.34115,0.78055,1.1567,3.67305,9.23145,6.45925,9.6499,1
2026-03-12,1.3343,0.78605,1.15115,3.7134,9.36025,6.4911,9.70865,1
2026-03-13,1.3226,0.7914,1.14165,3.74815,9.481,6.54525,9.7703,1
2026-03-16,1.33195,0.7878,1.15045,3.70925,9.343,6.4949,9.6734,1
2026-03-17,1.33555,0.7848,1.15395,3.69225,9.2789,6.47545,9.58005,1
2026-03-18,1.32575,0.79325,1.1452,3.73555,9.42205,6.5252,9.61465,1
2026-03-19,1.34315,0.78815,1.1589,3.68265,9.28815,6.4473,9.4882,1
2026-03-20,,,,,,,,1
